id,districtname,admtotal,generalfundexpends,perpupilexpends,avgteachersalary,readingproficiency,total_enroll,female_pct,male_pct,aian_pct,asian_pct,nhpi_pct,hisla_pct,black_pct,white_pct,twomo_pct,meals_pct,medianhouseincome,mhi_marginoferror,nocomp_cnt,nocomp_pct,yescomp_cnt,yescomp_pct,nointernet_cnt,nointernet_pct,yesinternet_cnt,yesinternet_pct,lat,lng
2709540,Comfrey Public School District,146.94,1910965,13005.07,50694,59.6433333,148,52.03,47.97,0,0,0,8.11,0,89.19,2.7,45.95,58214,9037,67,14.16490486,406,85.83509514,109,21.16504854,406,78.83495146,44.100034,-94.9100641
2733210,Sleepy Eye Public School District,578.7,6073846,10495.67,46479,58.3171429,609,48.93,51.07,0.49,1.15,0,34.48,1.15,62.07,0.66,47.95,58524,5613,382,14.50816559,2251,85.49183441,443,16.44394952,2251,83.55605048,44.2683274,-94.7357253
2733390,Springfield Public School District,559.52,5576610,9966.78,52708,68.5971429,566,47,53,0,0.18,0,7.6,0.18,92.04,0,46.82,54421,1896,228,14.63414634,1330,85.36585366,309,18.85295912,1330,81.14704088,44.2607998,-94.9772089
2723490,New Ulm Public School District,2141.47,23115819,10794.37,52039,57.7357143,2091,46.72,53.28,0.1,0.48,0,5.6,1.05,91.05,1.72,28.79,62315,3453,925,10.27891988,8074,89.72108012,1332,14.16117372,8074,85.83882628,44.2913516,-94.4685705
2703690,Barnum Public School District,706.79,7844835,11099.24,56920,70.3485714,714,46.08,53.92,0.56,0.14,0.14,1.68,0.42,92.3,4.76,33.33,63866,3605,215,12.20204313,1547,87.79795687,324,17.31694281,1547,82.68305719,46.5603249,-92.7112679
2707590,Carlton Public School District,433.66,5305718,12234.74,39522,56.5757143,435,43.45,56.55,14.02,0.23,0,1.15,0.69,79.54,4.37,36.32,58935,6153,280,13.63857769,1773,86.36142231,461,20.63563115,1773,79.36436885,46.611118,-92.5231059
2709420,Cloquet Public School District,2761.49,27810520,10070.84,63524,67.3271429,2654,47.63,52.37,11.79,0.6,0.04,1.58,0.34,72.46,13.19,42.5,54141,4793,831,13.02099655,5551,86.97900345,1196,17.72639692,5551,82.27360308,46.7509917,-92.5333742
2709690,Cromwell-Wright Public Schools,323.59,4906784,15163.58,51681,55.3514286,331,45.92,54.08,5.44,1.51,0,1.21,0.6,90.64,0.6,37.76,56850,6592,157,16.25258799,809,83.74741201,220,21.37998056,809,78.62001944,46.6705876,-92.9108987
2721450,Moose Lake Public School District,633.22,6419007,10137.09,57525,54.1614286,655,49.01,50.99,0.92,0.31,0,1.98,0,92.52,4.27,30.99,55563,4511,324,14.88286633,1853,85.11713367,398,17.68103065,1853,82.31896935,46.4333463,-92.796174
2738880,Esko Public School District,1255.45,10796321,8599.56,61790,80.6128571,1283,49.26,50.74,0.39,0.55,0,1.56,0.55,92.2,4.75,10.44,82723,11365,140,7.024586051,1853,92.97541395,211,10.22286822,1853,89.77713178,46.713831,-92.3607923
2744190,Wrenshall Public School District,364.46,3952098,10843.71,51121,54.7228571,377,51.46,48.54,0.53,0.27,0,2.65,0.8,90.71,5.04,44.03,64279,3835,123,13.75838926,771,86.24161074,175,18.49894292,771,81.50105708,46.5190014,-92.3437281
2723910,Central Public School District,956.98,9205468,9619.29,54631,63.6985714,986,48.07,51.93,0.2,0.71,0.41,5.78,1.93,86.91,4.06,20.69,79551,3956,345,9.857142857,3155,90.14285714,427,11.92071468,3155,88.07928532,44.7627448,-93.9034995
2741460,Waconia Public School District,4050.66,41590079,10267.48,62452,70.6942857,4123,48.1,51.9,0.27,1.02,0.1,4.85,1.02,89.93,2.81,11.01,97574,5958,589,7.342308651,7433,92.65769135,672,8.291178285,7433,91.70882171,44.8486071,-93.7998136
