GEOID,DST_NAM,ORGID
2728170,Pelican Rapids Public School District,010548000000
2728230,Perham-Dent Public School District,010549000000
2740830,Underwood Public School District,010550000000
2723520,New York Mills Public School District,010553000000
2713020,Goodridge Public School District,010561000000
2738850,Thief River Falls School District,010564000000
2742750,Willow River Public School District,010577000000
2728380,Pine City Public School District,010578000000
2711220,Edgerton Public School District,010581000000
2709360,Climax-Shelly Public Schools,010592000000
2709720,Crookston Public School District,010593000000
2711130,East Grand Forks Public School District,010595000000
2711910,Fertile-Beltrami School District,010599000000
2712180,Fisher Public School District,010600000000
2712300,Fosston Public School District,010601000000
2722950,Mounds View Public School District,010621000000
2723850,North St. Paul-Maplewood-Oakdale School District,010622000000
2732430,Roseville Public School District,010623000000
2742360,White Bear Lake School District,010624000000
2733840,St. Paul Public School District,010625000000
2730450,Red Lake Falls Public School District,010630000000
2721210,Milroy Public School District,010635000000
2741430,Wabasso Public School District,010640000000
2711760,Faribault Public School District,010656000000
2723880,Northfield Public School District,010659000000
2714040,Hills-Beaver Creek School District,010671000000
2703540,Badger Public School District,010676000000
2732250,Roseau Public School District,010682000000
2741850,Warroad Public School District,010690000000
2708910,Chisholm Public School District,010695000000
2711520,Ely Public School District,010696000000
2712210,Floodwood Public School District,010698000000
2713920,Hermantown Public School District,010700000000
2713980,Hibbing Public School District,010701000000
2730090,Proctor Public School District,010704000000
2741040,Virginia Public School District,010706000000
2733720,Nett Lake Public School District,010707000000
2711040,Duluth Public School District,010709000000
2700001,Mountain Iron-Buhl School District,010712000000
2704050,Belle Plaine Public School District,010716000000
2715750,Jordan Public School District,010717000000
2730060,Prior Lake-Savage Area Schools,010719000000
2733000,Shakopee Public School District,010720000000
2723430,New Prague Area Schools,010721000000
2703870,Becker Public School District,010726000000
2705460,Big Lake Public School District,010727000000
2711370,Elk River Public School District,010728000000
2714190,Holdingford Public School District,010738000000
2717220,Kimball Public School District,010739000000
2720550,Melrose Public School District,010740000000
2728140,Paynesville Public School District,010741000000
2733510,St. Cloud Public School District,010742000000
2732850,Sauk Centre Public School District,010743000000
2702930,Albany Public School District,010745000000
2732820,Sartell-St. Stephen School District,010748000000
2709440,Rocori Public School District,010750000000
2705760,Blooming Prairie Public School District,010756000000
2728050,Owatonna Public School District,010761000000
2719320,Medford Public School District,010763000000
2713380,Hancock Public School District,010768000000
2708940,Chokio-Alberta Public School District,010771000000
2717120,Kerkhoven-Murdock-Sunburg,010775000000
2704470,Benson Public School District,010777000000
2705430,Bertha-Hewitt Public School District,010786000000
2706300,Browerville Public School District,010787000000
2707110,Browns Valley Public School District,010801000000
2742330,Wheaton Area Public School District,010803000000
2741060,Wabasha-Kellogg Public School District,010811000000
2717520,Lake City Public School District,010813000000
2740920,Verndale Public School District,010818000000
2732970,Sebeka Public School District,010820000000
2720580,Menahga Public School District,010821000000
2741880,Waseca Public School District,010829000000
2712270,Forest Lake Public School District,010831000000
2718750,Mahtomedi Public School District,010832000000
2733810,South Washington County School District,010833000000
2738190,Stillwater Area Public School District,010834000000
2707320,Butterfield Public School District,010836000000
2718570,Madelia Public School District,010837000000
2733600,St. James Public School District,010840000000
2706150,Breckenridge Public School District,010846000000
2732460,Rothsay Public School District,010850000000
2707450,Campbell-Tintah Public School District,010852000000
2718090,Lewiston-Altura Public School District,010857000000
2733450,St. Charles Public School District,010858000000
2744070,Winona Area Public School District,010861000000
2703150,Annandale Public School District,010876000000
2707200,Buffalo-Hanover-Montrose Public Schools,010877000000
2710170,Delano Public School District,010879000000
2718810,Maple Lake Public School District,010881000000
2721390,Monticello Public School District,010882000000
2732070,Rockford Public School District,010883000000
2733790,St. Michael-Albertville School District,010885000000
2707470,Canby Public School District,010891000000
2707410,Cambridge-Isanti Public School District,010911000000
2720670,Milaca Public School District,010912000000
2740810,Ulen-Hitterdal Public School District,010914000000
2791445,Lake Crystal-Wellcome Memorial,012071000000
2740665,Triton School District,012125000000
2700005,United South Central School District,012134000000
2700006,Maple River School District,012135000000
2700007,Kingsland Public School District,012137000000
2700008,St. Louis County School District,012142000000
2700013,Waterville-Elysian-Morristown Public School District,012143000000
2700017,Chisago Lakes School District,012144000000
2700019,Minnewaska School District,012149000000
2700021,Eveleth-Gilbert School District,012154000000
2700022,Wadena-Deer Creek School District,012155000000
2700023,Buffalo Lake-Hector-Stewart Public Schools,012159000000
2710260,Dilworth-Glyndon-Felton,012164000000
2714070,Hinckley-Finlayson School District,012165000000
2700088,Lakeview School District,012167000000
2700089,NRHEG School District,012168000000
2700090,Murray County Central School District,012169000000
2733900,Staples-Motley School District,012170000000
2791447,Kittson Central School District,012171000000
2717100,Kenyon-Wanamingo School District,012172000000
2728970,Pine River-Backus Public School District,012174000000
2700024,Warren-Alvarado-Oslo School District,012176000000
2700091,MACCRAY School District,012180000000
2718330,Luverne Public School District,012184000000
2700099,Yellow Medicine East,012190000000
2700100,Fillmore Central,012198000000
2700101,Norman County East School District,012215000000
2700102,Sibley East School District,012310000000
2700103,Clearbrook-Gonvick School District,012311000000
