dname,censusid,admtotal
Northfield Public School District,2723880,4050
Hills-Beaver Creek School District,2714040,368
Badger Public School District,2703540,221
Roseau Public School District,2732250,1165
Warroad Public School District,2741850,993
Chisholm Public School District,2708910,728
Ely Public School District,2711520,568
Floodwood Public School District,2712210,208
Hermantown Public School District,2713920,2073
Hibbing Public School District,2713980,2381
Proctor Public School District,2730090,1790
Virginia Public School District,2741040,1736
Nett Lake Public School District,2733720,96
Duluth Public School District,2711040,8229
Mountain Iron-Buhl School District,2700001,519
Belle Plaine Public School District,2704050,1600
Jordan Public School District,2715750,1897
Prior Lake-Savage Area Schools,2730060,8820
Shakopee Public School District,2733000,8247
New Prague Area Schools,2723430,4226
Becker Public School District,2703870,2866
Big Lake Public School District,2705460,3026
Elk River Public School District,2711370,13362
Holdingford Public School District,2714190,1056
Kimball Public School District,2717220,758
Melrose Public School District,2720550,1334
Paynesville Public School District,2728140,931
St. Cloud Public School District,2733510,9941
Sauk Centre Public School District,2732850,1094
Albany Public School District,2702930,1762
Sartell-St. Stephen School District,2732820,4018
Rocori Public School District,2709440,2114
Blooming Prairie Public School District,2705760,760
Owatonna Public School District,2728050,4943
Medford Public School District,2719320,886
Hancock Public School District,2713380,360
Chokio-Alberta Public School District,2708940,155
Kerkhoven-Murdock-Sunburg,2717120,732
Benson Public School District,2704470,786
Bertha-Hewitt Public School District,2705430,492
Browerville Public School District,2706300,558
Browns Valley Public School District,2707110,160
Wheaton Area Public School District,2742330,365
Wabasha-Kellogg Public School District,2741060,525
Lake City Public School District,2717520,1237
Prinsburg Public School District,2716830,1
Verndale Public School District,2740920,568
Sebeka Public School District,2732970,500
Menahga Public School District,2720580,1039
Waseca Public School District,2741880,1853
Forest Lake Public School District,2712270,6059
Mahtomedi Public School District,2718750,3303
South Washington County School District,2733810,18546
Stillwater Area Public School District,2738190,8433
Butterfield Public School District,2707320,206
Madelia Public School District,2718570,595
St. James Public School District,2733600,1031
Breckenridge Public School District,2706150,635
Rothsay Public School District,2732460,292
Campbell-Tintah Public School District,2707450,130
Lewiston-Altura Public School District,2718090,728
St. Charles Public School District,2733450,991
Winona Area Public School District,2744070,2778
Annandale Public School District,2703150,1954
Buffalo-Hanover-Montrose Public Schools,2707200,5801
Delano Public School District,2710170,2481
Maple Lake Public School District,2718810,842
Monticello Public School District,2721390,4140
Rockford Public School District,2732070,1637
St. Michael-Albertville School District,2733790,6421
Canby Public School District,2707470,567
Cambridge-Isanti Public School District,2707410,4963
Milaca Public School District,2720670,1756
Ulen-Hitterdal Public School District,2740810,304
Lake Crystal-Wellcome Memorial,2791445,936
Triton School District,2740665,1100
United South Central School District,2700005,703
Maple River School District,2700006,900
Kingsland Public School District,2700007,563
St. Louis County School District,2700008,1983
Waterville-Elysian-Morristown Public School District,2700013,777
Chisago Lakes School District,2700017,3432
Minnewaska School District,2700019,1248
Eveleth-Gilbert School District,2700021,889
Wadena-Deer Creek School District,2700022,1042
Buffalo Lake-Hector-Stewart Public Schools,2700023,506
Dilworth-Glyndon-Felton,2710260,1606
Hinckley-Finlayson School District,2714070,962
Lakeview School District,2700088,635
NRHEG School District,2700089,878
Murray County Central School District,2700090,737
Staples-Motley School District,2733900,1126
Kittson Central School District,2791447,232
Kenyon-Wanamingo School District,2717100,774
Pine River-Backus Public School District,2728970,905
Warren-Alvarado-Oslo School District,2700024,479
MACCRAY School District,2700091,730
Luverne Public School District,2718330,1238
Yellow Medicine East,2700099,695
Fillmore Central,2700100,616
Norman County East School District,2700101,261
Sibley East School District,2700102,1149
Clearbrook-Gonvick School District,2700103,460
West Central Area,2700104,786
Tri-County School District,2791446,191
Belgrade-Brooten-Elrosa Public School District,2700105,634
G.F.W.,2712580,714
A.C.G.C. Public School District,2700106,827
Le Sueur-Henderson School District,2718070,1024
Martin County West School District,2718960,723
Norman County West School District,2791448,180
Bird Island-Olivia-Lake Lillian Public School District,2705660,664
Granada-Huntley-East Chain,2713040,313
East Central School District,2711085,740
Win-E-Mac School District,2791449,475
Greenbush-Middle River School District,2700107,284
Howard Lake-Waverly-Winsted,2700123,1255
Pipestone Area School District,2700108,1151
Mesabi East School District,2791450,953
Fairmont Area School District,2700124,1719
Long Prairie-Grey Eagle School District,2700109,956
Cedar Mountain School District,2700110,474
Morris Area Public Schools,2700383,1042
Zumbrota-Mazeppa School District,2745735,1205
Janesville-Waldorf-Pemberton,2791451,679
Lac Qui Parle Valley School District,2700125,796
Ada-Borup Public School District,2700126,570
Stephen-Argyle Central Schools,2700127,293
Glencoe-Silver Lake School District,2700128,1599
Blue Earth Area Public Schools,2700130,1047
Red Rock Central School District,2700132,431
Glenville-Emmons School District,2700148,294
Clinton-Graceville-Beardsley,2700150,318
Lake Park Audubon School District,2700162,732
Renville County West School District,2700163,568
Jackson County Central School District,2700231,1187
Redwood Area School District,2700182,1131
Westbrook-Walnut Grove Schools,2700183,363
Plainview-Elgin-Millville,2700287,1482
RTR Public Schools,2700294,585
Ortonville Public Schools,2700328,511
Tracy Area Public School District,2700326,708
Tri-City United School District,2700379,1859
Red Lake County Central Public Schools,2700385,389
Round Lake-Brewster Public Schools,2700388,387
Brandon-Evansville Public Schools,2700382,481
Littlefork-Big Falls School Dist.,2718270,323
