censusID,mHI,mHI_MOE,NoComp_Cnt,NoComp_Pct,YesComp_Cnt,YesCom_Pct,NoInternet_Cnt,NoInternet_Pct,YesInternet_Cnt,YesInternet_Pct
2733840,55085,938,10588,8.567244128,112999,91.43275587,14650,11.47678399,112999,88.52321601
2733870,61064,3322,557,9.746281715,5158,90.25371829,600,10.42028482,5158,89.57971518
2733900,44948,2880,783,15.65060963,4220,84.34939037,950,18.37524178,4220,81.62475822
2738160,71189,6588,327,8.56918239,3489,91.43081761,440,11.19877832,3489,88.80122168
2738190,96699,3072,1340,5.365150545,23636,94.63484946,1716,6.76869675,23636,93.23130325
2738280,66000,7271,111,13.52009744,710,86.47990256,147,17.15285881,710,82.84714119
2738850,60163,5891,814,12.28308435,5813,87.71691565,992,14.57751653,5813,85.42248347
2738880,82723,11365,140,7.024586051,1853,92.97541395,211,10.22286822,1853,89.77713178
2740665,63616,2849,333,11.15204287,2653,88.84795713,406,13.27231121,2653,86.72768879
2740680,52689,3869,164,14.44933921,971,85.55066079,236,19.55260978,971,80.44739022
2740740,61599,4172,718,10.34582133,6222,89.65417867,996,13.79883624,6222,86.20116376
2740810,63109,4353,136,16.93648817,667,83.06351183,174,20.68965517,667,79.31034483
2740830,68854,3510,119,10.4111986,1024,89.5888014,152,12.92517007,1024,87.07482993
2740860,64167,3471,127,13.84950927,790,86.15049073,173,17.96469367,790,82.03530633
2740920,47981,5481,106,13.53767561,677,86.46232439,116,14.62799496,677,85.37200504
2741040,46707,2739,1005,15.98028303,5284,84.01971697,1257,19.21724507,5284,80.78275493
2741060,59754,4142,256,10.28938907,2232,89.71061093,326,12.74433151,2232,87.25566849
2741880,51087,3005,586,10.84181314,4819,89.15818686,772,13.80790556,4819,86.19209444
2741430,57109,5793,166,14.42224153,985,85.57775847,233,19.12972085,985,80.87027915
2741460,97574,5958,589,7.342308651,7433,92.65769135,672,8.291178285,7433,91.70882171
2741850,54950,5629,418,15.42435424,2292,84.57564576,510,18.2012848,2292,81.7987152
2741910,86875,4543,301,7.820213042,3548,92.17978696,346,8.885464818,3548,91.11453518
2742160,109562,4824,1367,4.860962947,26755,95.13903705,1353,4.813576206,26755,95.18642379
2742360,84548,2705,1475,5.257155077,26582,94.74284492,2153,7.492604837,26582,92.50739516
2742720,53075,3462,1234,11.18665579,9797,88.81334421,1768,15.2875054,9797,84.7124946
2742750,50625,4924,255,16.50485437,1290,83.49514563,319,19.82597887,1290,80.17402113
2742780,51509,6421,388,13.06837319,2581,86.93162681,466,15.29373154,2581,84.70626846
