GEO_ID,NAME,S1901_C01_001E,S1901_C02_001E,S1901_C03_001E,S1901_C04_004E,S1901_C01_012E,S1901_C01_012M,S1901_C02_012E,S1901_C02_012M,S1901_C03_012E,S1901_C04_012E,S1901_C01_013E,S1901_C02_013E
id,Geographic Area Name,Estimate!!Households!!Total,Estimate!!Families!!Total,Estimate!!Married-couple families!!Total,"Estimate!!Nonfamily households!!Total!!$15,000 to $24,999",Estimate!!Households!!Median income (dollars),Margin of Error!!Households MOE!!Median income (dollars),Estimate!!Families!!Median income (dollars),Margin of Error!!Families MOE!!Median income (dollars),Estimate!!Married-couple families!!Median income (dollars),Estimate!!Nonfamily households!!Median income (dollars),Estimate!!Households!!Mean income (dollars),Estimate!!Families!!Mean income (dollars)
9700000US2718660,"Mahnomen Public School District, Minnesota",1339,829,513,19.6,41895,1336,53317,3537,74583,26379,55937,66579
9700000US2718750,"Mahtomedi Public School District, Minnesota",5575,4081,3423,17.5,106875,6073,133246,8478,146424,49107,153069,180301
9700000US2718780,"Mankato Public School District, Minnesota",26017,14692,10954,16.6,54846,2357,79275,3318,93211,33227,74033,95430
9700000US2718810,"Maple Lake Public School District, Minnesota",1866,1384,1200,20.3,72137,4630,87391,8130,93103,31944,89544,97473
9700000US2718920,"Grygla Public School District, Minnesota",393,271,224,17.2,55125,4424,65341,7022,66000,32500,65797,75343
9700000US2718940,"Marshall Public School District, Minnesota",5950,3700,2807,19,52000,4132,75048,6330,93678,27990,77474,99103
9700000US2718960,"Martin County West School District, Minnesota",1808,1219,988,11.4,55662,3528,68512,4104,76875,33693,73672,87963
9700000US2719170,"McGregor Public School District, Minnesota",2067,1323,1096,21.1,47569,2487,55250,4509,61979,29722,60248,67531
9700000US2719320,"Medford Public School District, Minnesota",1097,863,694,14.1,73650,5265,79922,7424,91310,42167,82560,87755
9700000US2720550,"Melrose Public School District, Minnesota",3452,2469,2151,19.1,64178,3504,75758,3688,82792,30313,77020,88448
9700000US2720580,"Menahga Public School District, Minnesota",1421,877,748,15.8,49673,3482,62863,2887,66071,30000,59668,73488
9700000US2720670,"Milaca Public School District, Minnesota",4478,3142,2556,20,58833,2085,66548,4884,77250,35109,69578,79671
9700000US2721240,"Minneapolis Public School District, Minnesota",173873,77808,54025,11.2,59005,1085,82593,1690,108545,43382,85894,113185
9700000US2721270,"Minneota Public School District, Minnesota",1047,730,645,15.8,65972,3675,76000,6581,81382,40446,76141,89422
9700000US2721320,"Montevideo Public School District, Minnesota",3190,1945,1484,18.6,51147,5587,69395,6918,80208,34697,71915,85066
9700000US2721390,"Monticello Public School District, Minnesota",7647,5575,4452,18.6,73462,3968,85221,6212,95116,40265,88586,99614
9700000US2721420,"Moorhead Public School District, Minnesota",17517,10786,8653,17.1,62464,3150,79839,4587,91001,31032,74038,92239
9700000US2721450,"Moose Lake Public School District, Minnesota",1853,1145,935,18.1,55563,4511,72745,5556,75990,28690,66335,81357
9700000US2721480,"Mora Public School District, Minnesota",4292,2868,2240,16.2,52372,2627,62543,4636,70690,29672,65881,76541
9700000US2722920,"Westonka Public School District, Minnesota",8270,5464,4766,9.8,100602,9980,128043,9441,140000,47985,155754,199927
9700000US2722950,"Mounds View Public School District, Minnesota",30657,20054,16215,13.9,80215,2459,103338,2877,114966,43295,108384,133972
9700000US2723010,"Mountain Lake Public Schools, Minnesota",1272,843,608,18.9,52589,5134,56365,3052,63977,35329,58181,65843
9700000US2723310,"Nashwauk-Keewatin School District, Minnesota",1712,1118,902,24.6,54010,3338,64000,6386,71518,29911,64630,75287
9700000US2723370,"Nevis Public School District, Minnesota",1120,865,784,18,56379,4301,68580,3737,70167,31518,69404,78442
9700000US2723400,"New London-Spicer School District, Minnesota",3802,2817,2493,17.1,69094,4625,86404,4359,90554,34630,92918,108847
9700000US2723430,"New Prague Area Schools, Minnesota",6880,5363,4781,17,99034,5400,113275,5374,121274,39836,108910,123911
9700000US2723490,"New Ulm Public School District, Minnesota",8074,5228,4343,19.6,62315,3453,78574,2989,84916,34277,76090,90781
9700000US2723520,"New York Mills Public School District, Minnesota",1399,1002,797,17.9,56435,4898,66607,3746,71680,31528,64632,74816
9700000US2723550,"Marshall County Central Schools, Minnesota",822,557,476,18.5,61563,6286,78068,7827,85625,36083,76377,88299
9700000US2723580,"Nicollet Public School District, Minnesota",979,717,638,8.8,74659,8029,84583,9397,88750,40556,86953,98144
9700000US2723820,"North Branch Public Schools, Minnesota",7529,5474,4663,14.9,79170,4080,90575,3844,97718,50371,89988,100578
9700000US2723850,"North St. Paul-Maplewood-Oakdale School District, Minnesota",31358,19992,14680,16.3,69368,2509,92283,2667,106547,41335,86826,104035
9700000US2723880,"Northfield Public School District, Minnesota",9342,6344,5435,16,73918,3469,92030,4530,99463,39462,93887,112038
9700000US2723910,"Central Public School District, Minnesota",3155,2355,2031,14.9,79551,3956,90922,5233,94688,42639,90275,102552
