,district_name,state_code,school_code,geo_id,pop_count,mhi,mhi_moe,no_comp,yes_comp,percent_comp,percent_nocomp,no_int,yes_int,percent_int,percent_noint
2742160,"Wayzata Public School District, Minnesota",27,42160,2742160,5200,109562,4824,1367,26755,514.52,26.29,1353,26755,514.52,26.02
2742360,"White Bear Lake School District, Minnesota",27,42360,2742360,5400,84548,2705,1475,26582,492.26,27.31,2153,26582,492.26,39.87
2742720,"Willmar Public School District, Minnesota",27,42720,2742720,3900,53075,3462,1234,9797,251.21,31.64,1768,9797,251.21,45.33
2742750,"Willow River Public School District, Minnesota",27,42750,2742750,1300,50625,4924,255,1290,99.23,19.62,319,1290,99.23,24.54
2742780,"Windom Public School District, Minnesota",27,42780,2742780,1100,51509,6421,388,2581,234.64,35.27,466,2581,234.64,42.36
2744070,"Winona Area Public School District, Minnesota",27,44070,2744070,5600,51023,2176,1687,15573,278.09,30.12,2170,15573,278.09,38.75
2744160,"Worthington Public School District, Minnesota",27,44160,2744160,2600,51998,5198,842,5675,218.27,32.38,1169,5675,218.27,44.96
2744190,"Wrenshall Public School District, Minnesota",27,44190,2744190,850,64279,3835,123,771,90.71,14.47,175,771,90.71,20.59
2745735,"Zumbrota-Mazeppa School District, Minnesota",27,45735,2745735,1600,71689,6337,327,2917,182.31,20.44,399,2917,182.31,24.94
2791446,"Tri-County School District, Minnesota",27,91446,2791446,750,45667,2879,198,870,116.0,26.4,242,870,116.0,32.27
2791447,"Kittson Central School District, Minnesota",27,91447,2791447,600,64241,5550,112,879,146.5,18.67,125,879,146.5,20.83
2791448,"Norman County West School District, Minnesota",27,91448,2791448,600,49868,5934,171,682,113.67,28.5,230,682,113.67,38.33
2791449,"Win-E-Mac School District, Minnesota",27,91449,2791449,1200,49750,3731,273,1355,112.92,22.75,306,1355,112.92,25.5
2791450,"Mesabi East School District, Minnesota",27,91450,2791450,1400,53538,2901,596,3315,236.79,42.57,716,3315,236.79,51.14
2718070,"Le Sueur-Henderson School District, Minnesota",27,18070,2718070,1700,64745,3211,383,2929,172.29,22.53,604,2929,172.29,35.53
2723850,"North St. Paul-Maplewood-Oakdale School District, Minnesota",27,23850,2723850,6500,69368,2509,2522,31358,482.43,38.8,2903,31358,482.43,44.66
2700125,"Lac Qui Parle Valley School District, Minnesota",27,00125,2700125,2400,47912,2130,586,2957,123.21,24.42,684,2957,123.21,28.5
2700326,"Tracy Area Public School District, Minnesota",27,00326,2700326,2000,55949,3636,305,2195,109.75,15.25,417,2195,109.75,20.85
2703030,"Alden-Conger Public School District, Minnesota",27,03030,2703030,600,62353,4101,95,570,95.0,15.83,111,570,95.0,18.5
2700023,"Buffalo Lake-Hector-Stewart Public Schools, Minnesota",27,00023,2700023,1700,56983,5599,258,1688,99.29,15.18,372,1688,99.29,21.88
2700091,"M.A.C.C.R.A.Y. School District, Minnesota",27,00091,2700091,1800,62614,4911,246,1806,100.33,13.67,342,1806,100.33,19.0
2700099,"Yellow Medicine East, Minnesota",27,00099,2700099,2000,56944,5103,342,2800,140.0,17.1,456,2800,140.0,22.8
2700100,"Fillmore Central, Minnesota",27,00100,2700100,1700,58255,3563,378,2053,120.76,22.24,495,2053,120.76,29.12
2700104,"West Central Area, Minnesota",27,00104,2700104,2000,57644,2249,274,2181,109.05,13.7,393,2181,109.05,19.65
2700123,"Howard Lake-Waverly-Winsted, Minnesota",27,00123,2700123,2200,65680,3789,439,3513,159.68,19.95,611,3513,159.68,27.77
2700130,"Blue Earth Area Public Schools, Minnesota",27,00130,2700130,2500,51337,2140,633,3502,140.08,25.32,792,3502,140.08,31.68
2700150,"Clinton-Graceville-Beardsley, Minnesota",27,00150,2700150,850,53529,4503,235,1010,118.82,27.65,284,1010,118.82,33.41
2700287,"Plainview-Elgin-Millville, Minnesota",27,00287,2700287,1900,72169,3217,381,3060,161.05,20.05,520,3060,161.05,27.37
2700294,"RTR Public Schools, Minnesota",27,00294,2700294,1500,59226,5818,232,1445,96.33,15.47,337,1445,96.33,22.47
2700328,"Ortonville Public Schools, Minnesota",27,00328,2700328,950,51321,3400,288,1582,166.53,30.32,341,1582,166.53,35.89
2705660,"Bird Island-Olivia-Lake Lillian, Minnesota",27,05660,2705660,1500,61172,4215,312,2096,139.73,20.8,567,2096,139.73,37.8
