,district_name,state_code,school_code,geo_id,pop_count,mhi,mhi_moe,no_comp,yes_comp,percent_comp,percent_nocomp,no_int,yes_int,percent_int,percent_noint
2718090,"Lewiston-Altura Public School District, Minnesota",27,18090,2718090,1500,69122,4397,238,1498,99.87,15.87,298,1498,99.87,19.87
2718210,"Litchfield Public School District, Minnesota",27,18210,2718210,2700,61330,2401,695,4692,173.78,25.74,896,4692,173.78,33.19
2718240,"Little Falls Public School District, Minnesota",27,18240,2718240,4000,51282,2210,1231,7210,180.25,30.78,1551,7210,180.25,38.78
2718270,"Littlefork-Big Falls School District, Minnesota",27,18270,2718270,450,50000,12523,131,724,160.89,29.11,168,724,160.89,37.33
2718330,"Luverne Public School District, Minnesota",27,18330,2718330,1500,58042,3888,324,2890,192.67,21.6,500,2890,192.67,33.33
2718360,"Lyle Public School District, Minnesota",27,18360,2718360,450,49318,11542,71,434,96.44,15.78,103,434,96.44,22.89
2718540,"Mabel-Canton Public School District, Minnesota",27,18540,2718540,950,56146,6348,247,943,99.26,26.0,271,943,99.26,28.53
2718570,"Madelia Public School District, Minnesota",27,18570,2718570,800,53550,7948,237,1385,173.12,29.62,281,1385,173.12,35.12
2718660,"Mahnomen Public School District, Minnesota",27,18660,2718660,1500,41895,1336,337,1339,89.27,22.47,404,1339,89.27,26.93
2718750,"Mahtomedi Public School District, Minnesota",27,18750,2718750,2000,106875,6073,675,5575,278.75,33.75,743,5575,278.75,37.15
2718780,"Mankato Public School District, Minnesota",27,18780,2718780,7500,54846,2357,2110,26017,346.89,28.13,2931,26017,346.89,39.08
2718810,"Maple Lake Public School District, Minnesota",27,18810,2718810,1200,72137,4630,193,1866,155.5,16.08,266,1866,155.5,22.17
2718920,"Grygla Public School District, Minnesota",27,18920,2718920,450,55125,4424,54,393,87.33,12.0,76,393,87.33,16.89
2718940,"Marshall Public School District, Minnesota",27,18940,2718940,2300,52000,4132,576,5950,258.7,25.04,652,5950,258.7,28.35
2719170,"McGregor Public School District, Minnesota",27,19170,2719170,1500,47569,2487,315,2067,137.8,21.0,457,2067,137.8,30.47
2719320,"Medford Public School District, Minnesota",27,19320,2719320,1100,73650,5265,119,1097,99.73,10.82,176,1097,99.73,16.0
2720550,"Melrose Public School District, Minnesota",27,20550,2720550,2700,64178,3504,565,3452,127.85,20.93,836,3452,127.85,30.96
2720580,"Menahga Public School District, Minnesota",27,20580,2720580,1500,49673,3482,230,1421,94.73,15.33,282,1421,94.73,18.8
2720670,"Milaca Public School District, Minnesota",27,20670,2720670,3200,58833,2085,605,4478,139.94,18.91,843,4478,139.94,26.34
2721240,"Minneapolis Public School District, Minnesota",27,21240,2721240,36500,59005,1085,14852,173873,476.36,40.69,22649,173873,476.36,62.05
2721270,"Minneota Public School District, Minnesota",27,21270,2721270,1000,65972,3675,137,1047,104.7,13.7,205,1047,104.7,20.5
2721320,"Montevideo Public School District, Minnesota",27,21320,2721320,1300,51147,5587,573,3190,245.38,44.08,724,3190,245.38,55.69
2721390,"Monticello Public School District, Minnesota",27,21390,2721390,1900,73462,3968,572,7647,402.47,30.11,764,7647,402.47,40.21
2721420,"Moorhead Public School District, Minnesota",27,21420,2721420,4800,62464,3150,1938,17517,364.94,40.38,2687,17517,364.94,55.98
2721450,"Moose Lake Public School District, Minnesota",27,21450,2721450,1500,55563,4511,324,1853,123.53,21.6,398,1853,123.53,26.53
2721480,"Mora Public School District, Minnesota",27,21480,2721480,2600,52372,2627,646,4292,165.08,24.85,869,4292,165.08,33.42
2722920,"Westonka Public School District, Minnesota",27,22920,2722920,1500,100602,9980,479,8270,551.33,31.93,704,8270,551.33,46.93
2722950,"Mounds View Public School District, Minnesota",27,22950,2722950,7000,80215,2459,2821,30657,437.96,40.3,3325,30657,437.96,47.5
