GEOID,NAME,LAT,LON
2791447,Kittson Central School District,48.7510461,-96.9832754
2711130,East Grand Forks Public School District,47.9564692,-96.9232401
2712180,Fisher Public School District,47.8304531,-96.7959339
2703570,Bagley Public School District,47.396434,-95.3651415
2738850,Thief River Falls School District,48.0911239,-96.182704
2703540,Badger Public School District,48.7669679,-95.99403
2733390,Springfield Public School District,44.2607998,-94.9772089
2730450,Red Lake Falls Public School District,47.8693921,-96.2982327
2791449,Win-E-Mac School District,47.6679681,-95.9930738
2709720,Crookston Public School District,47.7977999,-96.5770606
2702910,Walker-Hackensack-Akeley School District,47.0446058,-94.5583883
2708070,Cass Lake-Bena Public Schools,47.3331398,-94.3905378
2707470,Canby Public School District,44.7154673,-96.2609803
2711460,Ellsworth Public School District,43.531348,-95.9835394
2718330,Luverne Public School District,43.6779079,-96.1823567
2728970,Pine River-Backus Public School District,46.7413014,-94.4551872
2728200,Pequot Lakes Public Schools,46.6262214,-94.2239081
2713560,Hawley Public School District,46.8477456,-96.3122452
2700124,Fairmont Area School District,43.5982023,-94.5435189
2711190,Eden Valley-Watkins School District,45.3251307,-94.5217966
2723490,New Ulm Public School District,44.2913516,-94.4685705
2742780,Windom Public School District,43.8793689,-95.1436626
2700107,Greenbush-Middle River School District,48.6405555,-96.1599528
2713020,Goodridge Public School District,48.1577112,-95.7872601
2732250,Roseau Public School District,48.7834631,-95.7126967
2703750,Battle Lake Public School District,46.3073222,-95.6908082
2710230,Detroit Lakes Public School District,46.923596,-95.7837481
2713860,Henning Public School District,46.31903,-95.4644919
2723520,New York Mills Public School District,46.5498881,-95.3431901
2706150,Breckenridge Public School District,46.3623768,-96.5184185
2733900,Staples-Motley School District,46.377865,-94.7615283
2732970,Sebeka Public School District,46.6154599,-95.0206271
2732520,Royalton Public School District,45.841294,-94.2385041
2712580,G.F.W.,44.5410367,-94.5217168
2705730,Blackduck Public School District,47.6928832,-94.5782797
2700091,MACCRAY School District,45.0003459,-95.3616922
2728140,Paynesville Public School District,45.4018454,-94.7324897
2700123,Howard Lake-Waverly-Winsted,45.0423581,-94.0396813
2714970,Hutchinson Public School District,44.898475,-94.401803
2702640,Lester Prairie Public School District,44.8804377,-94.0614136
2703660,Barnesville Public School District,46.652391,-96.4724032
2713680,Hendricks Public School District,44.5088558,-96.3990986
2721270,Minneota Public School District,44.5695891,-96.0003253
2712300,Fosston Public School District,47.5680727,-95.6958251
2700150,Clinton-Graceville-Beardsley,45.5331969,-96.4835852
2708940,Chokio-Alberta Public School District,45.5350514,-96.1276125
2718210,Litchfield Public School District,45.1256428,-94.4978021
2721320,Montevideo Public School District,44.9856003,-95.7060085
2791445,Lake Crystal-Wellcome Memorial,44.0846976,-94.1950556
2718570,Madelia Public School District,44.0440065,-94.4142984
2740680,Truman Public School District,43.8412678,-94.4373776
2733600,St. James Public School District,43.9836244,-94.6347259
2707320,Butterfield Public School District,43.9378261,-94.8072871
2700231,Jackson County Central School District,43.6221225,-95.0818993
2718960,Martin County West School District,43.6844103,-94.713271
2714040,Hills-Beaver Creek School District,43.5800159,-96.3621938
2700128,Glencoe-Silver Lake School District,44.7771861,-94.1989307
2705660,Bird Island-Olivia-Lake Lillian Public School District,44.7806015,-94.9254407
2716830,Prinsburg Public School District,44.9443336,-95.1990631
2718940,Marshall Public School District,44.4366057,-95.7463159
2700294,RTR Public Schools,44.251535,-96.0693417
2700108,Pipestone Area School District,43.9778346,-96.3110668
2728110,Parkers Prairie Public School District,46.1399273,-95.3563313
2716980,Kasson-Mantorville School District,44.0248356,-92.7369572
2700287,Plainview-Elgin-Millville,44.1847281,-92.1941707
2713590,Hayfield Public School District,43.8447085,-92.8184578
2703450,Austin Public School District,43.6693745,-93.0110587
2705760,Blooming Prairie Public School District,43.8506216,-93.0575229
2740665,Triton School District,44.0816379,-92.9166166
2715030,Inver Grove Heights Schools,44.8256309,-93.0449554
2708880,Franconia Public School District,45.3194524,-92.7452584
2702970,Albert Lea Public School District,43.6770341,-93.313803
2700148,Glenville-Emmons School District,43.5464193,-93.2988039
2733270,South St. Paul Public School District,44.8880271,-93.0404974
2713530,Hastings Public School District,44.6945396,-92.8625847
2733840,St. Paul Public School District,44.948901,-93.1040631
2700379,Tri-City United School District,44.4063973,-93.615515
2730480,Red Wing Public School District,44.5518406,-92.6089836
2700007,Kingsland Public School District,43.6950381,-92.3179725
2700100,Fillmore Central,43.6030916,-92.1088086
2717910,Lanesboro Public School District,43.7275442,-91.9448125
2733300,Spring Grove School District,43.5756011,-91.631879
2711010,Dover-Eyota Public School District,43.9949007,-92.2154739
2718060,LeRoy-Ostrander Public Schools,43.5655039,-92.4712195
2733450,St. Charles Public School District,43.9846019,-92.0396616
2708220,Chatfield Public Schools,43.8430231,-92.2043769
2718540,Mabel-Canton Public School District,43.5763611,-91.8301799
2738160,Stewartville Public School District,43.8471755,-92.5094271
2728290,Rushford-Peterson Public Schools,43.7863591,-91.7953783
2707350,Byron Public School District,44.0203987,-92.6182543
2717100,Kenyon-Wanamingo School District,44.2935274,-92.916876
2703180,Anoka-Hennepin Public School District,45.2173219,-93.3334627
2710170,Delano Public School District,45.040383,-93.7693725
2711670,Minnetonka Public School District,44.9050192,-93.5476249
2714220,Eden Prairie Public School District,44.8468508,-93.4573412
2722920,Westonka Public School District,44.9396488,-93.6651032
2725200,Osseo Public School District,45.1079725,-93.4304112
2742160,Wayzata Public School District,45.010205,-93.4991063
2719320,Medford Public School District,44.1736173,-93.2634396
2741880,Waseca Public School District,44.0788088,-93.5189102
2799997,School District Not Defined,44.8837896,-93.2123416
2731800,Rochester Public School District,44.0546608,-92.4425886
